gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3118210621	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/130164038/original.jpeg	https://www.inaturalist.org/photos/130164038					2021-05-19T17:21:29Z	flytriguy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	flytriguy
3117916703	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128915805/original.jpg	https://www.inaturalist.org/photos/128915805					2021-04-13T22:43:39Z	Jason Headley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jason Headley
3117864940	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/129210071/original.jpeg	https://www.inaturalist.org/photos/129210071					2021-04-19T21:56:12Z	Erin Springinotic		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Erin Springinotic
3117831770	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128962501/original.jpeg	https://www.inaturalist.org/photos/128962501					2021-04-19T21:22:44Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3113697658	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128377036/original.jpeg	https://www.inaturalist.org/photos/128377036					2021-04-16T22:43:30Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3113685729	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128502898/original.jpeg	https://www.inaturalist.org/photos/128502898					2021-04-17T21:32:17Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3113685729	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128503007/original.jpeg	https://www.inaturalist.org/photos/128503007					2021-04-17T21:32:23Z	Ellyne Geurts		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Ellyne Geurts
3113676468	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128087947/original.jpeg	https://www.inaturalist.org/photos/128087947					2021-05-10T17:23:05Z	Marvin Eng		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marvin Eng
3113671652	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128365731/original.jpeg	https://www.inaturalist.org/photos/128365731					2021-05-08T19:21:35Z	P. C. Langemeyer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	P. C. Langemeyer
3113647800	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128652496/original.jpg	https://www.inaturalist.org/photos/128652496					2021-05-13T17:43:27Z	paigem25		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	paigem25
3113591875	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128729704/original.jpeg	https://www.inaturalist.org/photos/128729704					2021-05-13T22:42:55Z	dunnison		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dunnison
3113591875	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128729695/original.jpeg	https://www.inaturalist.org/photos/128729695					2021-05-13T22:42:55Z	dunnison		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dunnison
3113590876	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127361140/original.jpeg	https://www.inaturalist.org/photos/127361140					2021-04-16T22:02:05Z	Maleen Mund		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Maleen Mund
3113579545	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125783882/original.jpeg	https://www.inaturalist.org/photos/125783882					2012-08-04T20:14:53Z	Lyrae		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lyrae
3113501853	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128622040/original.jpeg	https://www.inaturalist.org/photos/128622040					2021-04-17T22:26:58Z	Kate McKeown		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kate McKeown
3113424945	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127496413/original.jpg	https://www.inaturalist.org/photos/127496413					2008-09-10T00:21:15Z	kliewer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kliewer
3113292236	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127880076/original.jpeg	https://www.inaturalist.org/photos/127880076					2021-05-09T15:52:17Z	Scott Wilson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Scott Wilson
3112824816	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125672844/original.jpeg	https://www.inaturalist.org/photos/125672844					2021-05-01T19:52:41Z	jey42		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jey42
3112824816	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125672865/original.jpeg	https://www.inaturalist.org/photos/125672865					2021-05-01T19:52:53Z	jey42		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jey42
3112824816	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125672857/original.jpeg	https://www.inaturalist.org/photos/125672857					2021-05-01T19:52:48Z	jey42		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jey42
3112824816	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125672869/original.jpeg	https://www.inaturalist.org/photos/125672869					2021-05-01T19:53:00Z	jey42		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jey42
3112824816	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125672849/original.jpeg	https://www.inaturalist.org/photos/125672849					2021-05-01T19:52:44Z	jey42		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jey42
3112809750	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125569330/original.jpeg	https://www.inaturalist.org/photos/125569330					2021-05-02T16:06:35Z	Scott Wilson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Scott Wilson
3112809750	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125570101/original.jpeg	https://www.inaturalist.org/photos/125570101					2021-05-02T16:05:28Z	Scott Wilson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Scott Wilson
3112697906	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126955639/original.jpg	https://www.inaturalist.org/photos/126955639					2017-07-04T23:30:44Z	bowsererwarden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bowsererwarden
3112638882	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127024421/original.jpg	https://www.inaturalist.org/photos/127024421					2021-05-06T19:26:22Z	Tumtumtree		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tumtumtree
3112638882	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127024441/original.jpg	https://www.inaturalist.org/photos/127024441					2021-05-06T19:26:22Z	Tumtumtree		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tumtumtree
3112488869	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126955567/original.jpg	https://www.inaturalist.org/photos/126955567					2017-08-05T18:07:48Z	bowsererwarden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bowsererwarden
3112425694	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126753039/original.jpeg	https://www.inaturalist.org/photos/126753039					2021-05-03T02:30:42Z	Samara		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samara
3112425694	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126753174/original.jpeg	https://www.inaturalist.org/photos/126753174					2021-05-03T02:30:45Z	Samara		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Samara
